depth_zone,phys_zone,contaminant,ssp,n_models,baseline_dry,ensemble_median,ensemble_p5,ensemble_p95,ensemble_std,pct_change_median,pct_change_p5,pct_change_p95
Deep,Ganges_Floodplain,Fe2+,ssp245,5,2.67919,2.7895148668104954,2.7627823119515087,2.8398361110719472,0.03143439218856157,4.11784408013225,3.1200591205367485,5.996070120892771
Deep,Ganges_Floodplain,Fe2+,ssp585,6,2.67919,2.881090577470451,2.8529810930359316,2.9239685879691932,0.029751564281145688,7.5358812727149145,6.486702810772338,9.136290743440854
Deep,Ganges_Floodplain,Cr3+,ssp245,5,0.00615,0.004516116569402803,0.004008375160286079,0.005471886775602439,0.0005970451634248759,-26.56721025361296,-34.8231681254296,-11.02623129101726
Deep,Ganges_Floodplain,Cr3+,ssp585,6,0.00615,0.003960479126868647,0.003426585179521906,0.0047748772113612925,0.0005650825838091432,-35.60196541676997,-44.28316781265194,-22.35972014046679
Deep,Ganges_Floodplain,NO3-,ssp245,5,1.3,1.5635904115267418,1.4722384204920638,1.6121200563646951,0.05706524859501097,20.27618550205706,13.249109268620286,24.009235104976543
Deep,Ganges_Floodplain,NO3-,ssp585,6,1.3,1.682805459797677,1.604965738460212,1.733834749866697,0.05401028280139039,29.446573830590527,23.458902958477847,33.37190383589977
Deep,Meghna_Floodplain,As,ssp245,5,2.1632,4.387647703421636,3.3964272152004207,4.9142216478386525,0.6191900464582055,102.83134723657713,57.00939419380645,127.17370783277795
Deep,Meghna_Floodplain,As,ssp585,6,2.1632,5.290024785625937,4.445420024271187,5.843721286850469,0.5860419491791629,144.54626412841796,105.50203514567251,170.14244114508458
Deep,Meghna_Floodplain,Mn2+,ssp245,5,0.27423,0.22028550138236744,0.19793941979617133,0.26234966755417294,0.0262764070311803,-19.67126084587118,-27.81992495490233,-4.332251192731297
Deep,Meghna_Floodplain,Mn2+,ssp585,6,0.27423,0.20688621221791192,0.18338913773950571,0.24272848490426446,0.024869709844435282,-24.55741085296578,-33.12579304251696,-11.487260728489048
Deep,Meghna_Floodplain,Fe2+,ssp245,5,3.802265,4.033583362669799,4.015899766711409,4.066870886302948,0.020793863272414698,6.0836991285404745,5.6186185526629355,6.959164768971873
Deep,Meghna_Floodplain,Fe2+,ssp585,6,3.802265,4.191599759267973,4.173005323832948,4.219963580726829,0.019680671924291827,10.239548250002912,9.750512492762816,10.985519965779067
Deep,Meghna_Floodplain,Cr3+,ssp245,5,0.0062,0.006602981370374068,0.006520764578442857,0.006646658050728226,5.1358723735510085e-05,6.499699522162394,5.173622232949311,7.204162108519778
Deep,Meghna_Floodplain,Cr3+,ssp585,6,0.0062,0.0068122749138179095,0.006742219164614191,0.006858201274880028,4.860925452125148e-05,9.875401835772736,8.745470397003084,10.616149594839166
Deep,Meghna_Floodplain,NO3-,ssp245,5,1.25,1.4207952057633702,1.3751192102460317,1.4450600281823467,0.02853262429750524,13.663616461069612,10.009536819682534,15.604802254587735
Deep,Meghna_Floodplain,NO3-,ssp585,6,1.25,1.5044027298988376,1.4654828692301054,1.5299173749333475,0.02700514140069499,20.35221839190701,17.238629538408432,22.393389994667796
Deep,Northern_Terrace,As,ssp245,5,1.7324,2.9384230250276433,2.438122427127349,3.2042016911883,0.3125249670866526,69.61573684066286,40.736690552259816,84.95738231287808
Deep,Northern_Terrace,As,ssp585,6,1.7324,3.445126638764454,3.018827674894659,3.7245949244887013,0.29579406504716516,98.86438690628341,74.2569657639494,114.99624362091328
Deep,Northern_Terrace,Mn2+,ssp245,5,0.23079,0.1914881767855848,0.1743341605764892,0.2237788218165677,0.020171138747121557,-17.02925742641154,-24.46199550392599,-3.037903801478532
Deep,Northern_Terrace,Mn2+,ssp585,6,0.23079,0.18249989759801594,0.16446231929086902,0.21001429309777642,0.019091284713221513,-20.923827896349085,-28.73940842719831,-9.001996144643867
Deep,Northern_Terrace,Fe2+,ssp245,5,2.81453,3.0852339478334776,3.0591324001950944,3.0991000806048015,0.01630496815480925,9.618087134742838,8.690701473961706,10.110749596017861
Deep,Northern_Terrace,Fe2+,ssp585,6,2.81453,3.2395364075006903,3.217295653121543,3.2541167514056606,0.015432088053427126,15.10043977149614,14.310227751047,15.618478090681592
Deep,Northern_Terrace,Cr3+,ssp245,5,0.0041,0.004349445205763371,0.004303769210246032,0.004373710028182348,2.8532624297505582e-05,6.084029408862702,4.969980737708094,6.675854345910923
Deep,Northern_Terrace,Cr3+,ssp585,6,0.0041,0.00448145272989884,0.004442532869230107,0.00450696737493335,2.7005141400695297e-05,9.303725119483886,8.354460225124555,9.92603353495974
Deep,Northern_Terrace,NO3-,ssp245,5,1.2,1.278,1.278,1.278,0.0,6.500000000000006,6.500000000000006,6.500000000000006
Deep,Northern_Terrace,NO3-,ssp585,6,1.2,1.326,1.326,1.326,2.220446049250313e-16,10.50000000000001,10.50000000000001,10.50000000000001
Intermediate,Barind_Tract,As,ssp245,5,1.0008,1.4152368918604312,1.2702019032942249,1.4922849824874076,0.09059964193186913,41.410560737453174,26.918655405098423,49.10921088003674
Intermediate,Barind_Tract,As,ssp585,6,1.0008,1.6020148632477813,1.4784326296663552,1.6830315156258608,0.08574942548962736,60.07342758271197,47.725082900315286,68.1686166692507
Intermediate,Barind_Tract,Mn2+,ssp245,5,0.61305,0.5763777744760911,0.5491635628920878,0.6276056872485628,0.032000764780867365,-5.98193059683695,-10.421081006102634,2.3743067039495673
